,dvars,mean_fd,num_fd,outlier,perc_fd,quality,scan,session,subject
0,1.1404052748419853,,,0.002026104218362282,,0.005334262952853598,1400,2,0021001
1,1.066500501956516,,,0.0010937965260545905,,0.006268242158808937,1400,2,0021002
2,1.0678708101240038,,,0.0006277419354838704,,0.0036529422332506204,1400,2,0021006
3,1.0867042616439426,,,0.0002250620347394539,,0.0036762909181141433,1400,2,0021018
4,1.095756846328769,,,0.0003512871287128714,,0.0036350596782178234,1400,2,0021024
5,1.0627604181738013,,,0.003798486352357319,,0.00660162540942928,1400,2,1427581
6,1.1284925830634136,,,0.0010161538461538463,,0.007323712828784122,1400,2,1793622
7,1.1206133429803062,,,0.0024341935483870977,,0.005573757518610418,1400,2,1961098
8,1.1052971420314395,,,0.0006139603960396039,,0.0043130226980198,1400,2,2475376
9,1.1321709702207199,,,0.004145990099009896,,0.009343801361386133,1400,2,2799329
10,1.1784730454744328,,,0.0008915841584158406,,0.005681436435643561,1400,2,2842950
11,1.1633003475940598,,,0.0005279950495049508,,0.005358996212871288,1400,2,3201815
12,1.0791134247395193,,,0.002495891089108912,,0.00953412603960395,1400,2,3313349
13,1.1699706692691647,,,0.0005247146401985115,,0.002596813970223325,1400,2,3315657
14,1.0831989784268707,,,0.006661612903225805,,0.01401039260545906,1400,2,3795193
15,1.0214229346985642,,,0.001141806930693069,,0.008938994232673268,1400,2,3808535
16,1.104040963065485,,,0.0019886881188118793,,0.013171232896039617,1400,2,3893245
17,1.163078909274973,,,0.0009958808933002476,,0.013534209702233253,1400,2,4176156
18,1.2512712623897262,,,0.009749131513647645,,0.008419530322580646,1400,2,4288245
19,1.1591298450216954,,,0.001949900990099009,,0.0056594763861386125,1400,2,7055197
20,1.0858916973057302,,,0.0007209677419354841,,0.004955387419354838,1400,2,8574662
21,1.1242722376119472,,,0.00026938118811881183,,0.00852493863861386,1400,2,8735778
22,1.1691668458738038,,,0.0006418858560794047,,0.004413028610421836,1400,2,9630905
